id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000067066.15	29.12	22.92	11.82	53.62	16.71	21.31	19.28	29.97	28.00	17.34	12.30
ENSG00000067082.13	53.17	72.01	57.57	25.43	41.45	79.57	74.14	187.58	53.77	126.11	214.66
ENSG00000067113.15	15.45	6.87	16.63	5.01	8.12	5.21	5.16	10.08	6.45	3.42	9.90
ENSG00000067141.15	10.10	20.51	0.51	20.17	2.42	3.65	7.61	1.68	10.43	1.75	35.30
ENSG00000067167.6	71.71	60.16	66.91	52.66	79.11	64.72	48.68	36.29	57.37	56.43	48.36
ENSG00000067177.13	7.15	4.72	0.00	0.24	4.88	1.45	7.85	9.25	7.18	1.94	4.13
ENSG00000067182.6	97.62	62.10	62.16	112.76	80.73	49.17	88.90	184.62	73.05	77.75	146.33
ENSG00000067191.14	4.62	2.80	5.46	2.45	5.03	7.86	2.80	6.12	10.78	6.89	16.02
ENSG00000067208.13	5.58	2.40	2.65	5.78	9.44	5.43	4.27	6.44	14.75	1.97	11.88
ENSG00000067221.12	12.93	7.15	7.91	8.93	7.87	31.25	8.95	17.62	10.89	5.44	16.34
ENSG00000067225.16	1835.16	1055.29	1071.66	1739.66	976.53	977.31	966.75	1588.73	1355.48	1329.95	2494.25
ENSG00000067248.8	11.68	2.03	8.60	13.89	23.60	7.61	7.29	6.68	8.15	5.48	1.61
ENSG00000067334.12	25.98	19.09	43.42	68.46	60.74	21.79	30.66	31.51	71.69	10.14	10.54
ENSG00000067365.13	20.46	11.09	13.69	19.65	21.25	15.34	8.46	19.43	12.90	11.99	41.30
ENSG00000067369.12	16.37	6.34	11.34	21.89	20.52	9.55	9.09	10.72	10.16	6.07	25.02
ENSG00000067445.19	0.02	0.04	28.04	8.37	14.75	0.22	0.00	0.00	0.00	0.00	31.79
ENSG00000067533.5	15.00	7.71	13.77	14.84	52.40	13.54	21.85	11.04	18.68	2.93	0.50
ENSG00000067560.9	246.50	203.37	353.13	321.97	174.95	232.67	249.86	402.44	345.62	206.79	268.80
ENSG00000067596.9	27.71	19.66	17.75	28.70	43.61	23.56	30.85	18.96	35.05	38.30	16.86
ENSG00000067601.7	3.61	4.01	2.99	7.94	5.69	3.01	2.86	2.64	6.01	0.86	3.12
ENSG00000067606.14	17.72	22.90	0.05	5.09	9.80	0.44	11.14	4.90	18.16	17.82	3.55
ENSG00000067704.9	48.70	39.55	24.41	81.98	112.27	22.84	110.35	31.35	54.25	25.79	16.56
ENSG00000067715.12	1.91	0.99	4.06	0.22	1.54	0.71	0.15	0.94	1.71	0.19	7.87
ENSG00000067798.12	1.84	0.65	4.48	7.96	7.82	11.00	2.59	12.39	10.41	0.41	4.47
ENSG00000067829.17	71.26	53.85	136.04	92.13	54.56	77.15	56.45	90.27	66.22	71.54	225.76
ENSG00000067836.11	53.86	44.10	13.15	22.26	12.23	13.92	14.29	25.12	13.76	10.18	23.72
ENSG00000067840.11	0.10	0.09	2.31	0.02	6.29	0.97	0.00	0.03	0.12	0.00	0.46
ENSG00000067842.16	0.00	0.00	0.00	2.53	0.01	0.01	0.00	0.00	0.00	0.00	0.00
ENSG00000067900.6	8.09	8.27	5.47	21.68	22.59	8.02	8.24	6.06	10.41	2.68	6.64
ENSG00000067955.12	32.72	21.34	48.48	50.34	42.47	29.53	28.92	22.35	75.50	36.26	35.89
ENSG00000067992.11	3.13	1.52	8.81	6.10	2.65	0.86	1.67	2.33	2.95	0.24	0.61
ENSG00000068001.12	47.97	33.64	68.16	22.60	17.35	42.89	28.40	64.75	39.48	38.83	31.15
ENSG00000068024.15	8.15	5.95	8.40	9.44	19.51	9.30	12.13	11.40	3.55	5.47	23.71
ENSG00000068028.16	28.93	22.18	39.64	16.05	15.71	44.44	22.31	26.26	33.84	25.06	27.87
ENSG00000068078.16	0.19	81.59	5.78	0.15	1.71	0.93	16.82	0.00	1.31	34.68	0.65
ENSG00000068079.6	3.89	5.55	6.33	7.99	22.08	13.21	5.41	25.03	22.13	4.89	71.13
ENSG00000068097.13	9.41	6.80	8.35	7.09	11.25	7.15	10.10	12.19	12.15	8.25	61.67
ENSG00000068120.13	63.38	52.78	34.51	29.29	56.27	49.05	60.80	80.65	56.94	129.15	104.10
ENSG00000068137.13	23.10	28.07	6.81	6.16	7.03	12.19	4.37	12.00	12.05	12.31	26.50
ENSG00000068305.16	8.98	11.49	12.21	23.63	16.12	6.74	6.79	11.79	9.79	3.24	32.11
ENSG00000068308.12	30.94	36.57	44.56	27.13	20.15	15.17	27.14	39.65	23.22	19.04	41.25
ENSG00000068323.15	23.90	26.68	54.27	14.90	18.57	19.90	20.55	43.01	21.43	22.46	61.68
ENSG00000068354.14	15.89	17.59	18.26	7.94	4.49	8.94	18.46	19.53	8.04	10.85	22.92
ENSG00000068366.18	22.02	10.22	61.89	41.22	57.69	25.83	25.53	18.19	34.97	11.46	17.54
ENSG00000068383.17	12.34	10.34	6.37	13.15	22.95	14.69	10.19	12.50	5.51	23.52	26.74
ENSG00000068394.10	15.16	10.00	24.37	13.29	13.83	11.05	13.59	22.17	7.92	15.39	34.02
ENSG00000068400.12	17.74	17.03	23.45	11.37	16.76	8.87	11.31	14.79	13.95	8.69	27.14
ENSG00000068438.13	87.44	65.90	91.47	17.90	29.02	36.49	67.18	123.70	36.51	75.49	44.84
ENSG00000068489.11	49.06	30.47	24.23	87.06	91.15	37.85	38.50	11.31	148.70	30.75	31.83
ENSG00000068615.15	0.36	0.69	2.49	6.69	0.69	0.39	0.24	0.14	0.80	0.00	0.00
ENSG00000068650.17	8.39	10.91	13.22	2.01	7.20	0.30	18.74	16.74	4.20	19.12	6.25
ENSG00000068654.14	14.79	7.32	10.74	39.14	35.27	37.05	12.45	7.96	17.84	20.74	47.04
ENSG00000068697.6	107.95	177.61	188.70	147.95	66.19	64.52	107.96	114.70	130.88	74.19	182.33
ENSG00000068724.14	31.14	22.03	2.53	10.84	9.84	10.07	18.77	39.05	8.61	27.50	24.51
ENSG00000068745.13	91.64	158.88	46.94	76.84	75.46	37.42	76.11	74.10	39.96	33.84	51.59
ENSG00000068784.11	4.57	2.86	4.30	11.30	8.45	6.04	4.02	3.28	6.91	0.86	1.37
ENSG00000068796.15	16.61	4.67	28.64	17.67	23.29	10.66	15.88	9.45	24.09	3.17	2.38
ENSG00000068878.13	21.06	23.45	11.55	43.62	57.47	21.13	22.07	17.00	26.78	5.07	1.93
ENSG00000068885.13	8.15	7.03	6.59	15.02	18.83	3.67	5.14	3.09	6.14	0.78	3.11
ENSG00000068903.18	35.17	47.30	29.40	20.43	21.61	32.85	34.17	26.07	18.97	23.69	33.53
ENSG00000068912.12	13.78	12.47	11.28	22.08	24.85	16.32	17.88	21.89	24.29	16.64	6.73
ENSG00000068971.12	5.17	7.42	10.40	8.69	3.76	8.96	9.14	16.57	5.71	7.41	16.93
ENSG00000068985.4	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.79	0.00	0.00	0.00
ENSG00000069011.14	44.92	97.60	34.31	6.76	11.26	42.10	33.35	57.71	36.00	99.45	1.07
ENSG00000069020.17	7.76	16.78	1.64	0.68	0.23	0.14	10.96	13.52	0.54	20.30	3.49
ENSG00000069122.17	0.05	0.06	0.01	0.00	0.00	0.02	0.00	0.14	55.21	0.00	0.02
ENSG00000069188.15	1.02	2.35	0.00	0.51	0.53	3.26	0.00	0.02	0.00	0.00	2.91
ENSG00000069248.11	15.69	12.53	18.31	23.30	33.99	7.37	32.77	12.80	20.21	21.18	5.85
ENSG00000069275.12	45.94	52.40	97.22	162.16	85.67	34.25	114.12	17.74	104.91	15.31	7.28
ENSG00000069329.14	33.97	26.12	39.31	51.56	39.97	19.47	37.18	26.10	47.67	12.20	10.14
ENSG00000069345.10	31.08	25.33	45.04	47.32	45.30	18.84	32.29	29.13	61.17	13.64	23.10
ENSG00000069399.11	24.63	17.72	17.90	14.08	16.67	26.72	17.53	68.94	9.55	31.40	45.60
ENSG00000069424.13	7.61	4.70	5.07	4.95	0.78	2.65	3.59	11.16	16.77	2.37	6.88
ENSG00000069431.9	0.35	0.48	0.52	3.98	3.12	2.93	0.23	0.34	0.91	0.09	0.19
ENSG00000069482.6	72.57	0.57	0.50	3.00	31.75	0.00	0.00	28.96	0.00	164.88	0.00
ENSG00000069493.13	0.77	1.32	2.22	3.91	2.41	0.66	1.07	1.61	0.37	0.15	0.15
ENSG00000069509.5	16.18	15.96	17.62	10.71	13.64	2.87	8.69	8.77	9.45	3.48	3.47
ENSG00000069535.13	0.00	0.06	0.00	0.11	1.33	0.00	0.18	1.57	0.00	0.72	0.00
ENSG00000069667.14	0.95	2.02	0.05	0.49	0.63	0.64	0.10	0.00	0.02	1.47	0.81
ENSG00000069696.6	0.00	0.24	0.13	0.44	0.04	3.02	0.00	0.00	0.19	0.00	0.50
ENSG00000069702.9	1.55	2.67	0.71	11.10	1.25	3.71	5.07	0.54	7.68	1.55	3.18
ENSG00000069764.8	0.47	1.02	0.00	0.24	0.31	0.21	0.00	0.23	0.00	0.00	0.15
ENSG00000069812.10	17.98	98.37	0.27	1.76	0.62	2.21	20.71	6.37	1.59	49.30	0.69
ENSG00000069849.9	98.80	179.57	177.34	234.96	162.04	108.73	131.19	80.23	144.37	36.87	10.09
ENSG00000069869.14	22.94	20.67	38.16	114.62	105.71	66.51	16.56	12.03	42.08	2.61	3.81
ENSG00000069943.8	5.51	6.00	3.97	2.96	5.06	2.59	8.84	6.54	9.97	4.13	1.92
ENSG00000069956.10	24.61	36.57	24.11	18.07	15.96	6.19	25.66	18.02	22.20	6.77	5.67
ENSG00000069966.17	26.91	18.89	19.08	15.75	10.36	12.81	32.18	22.42	37.66	19.43	36.69
ENSG00000069974.14	9.43	4.36	10.99	30.74	13.14	7.03	12.98	15.28	19.66	5.19	1.68
ENSG00000069998.11	62.12	31.32	40.95	15.83	83.15	54.46	55.38	40.61	35.04	49.07	22.42
ENSG00000070010.17	106.31	124.25	70.19	49.68	117.87	129.50	92.48	126.42	99.48	82.84	79.96
ENSG00000070018.7	6.75	4.42	7.50	12.40	26.26	8.87	5.67	6.85	9.46	10.82	8.30
ENSG00000070047.10	14.03	10.92	12.09	5.12	7.26	60.29	21.13	16.05	19.81	20.78	21.58
ENSG00000070061.13	19.30	11.34	15.33	17.50	29.24	12.24	18.54	15.48	21.37	14.97	6.80
ENSG00000070081.14	13.81	10.15	63.97	69.62	107.03	21.09	9.12	9.56	33.01	3.92	34.19
ENSG00000070087.12	82.17	95.14	120.42	211.10	425.50	87.14	51.99	58.04	53.93	120.25	63.08
ENSG00000070159.12	14.44	8.95	7.18	3.25	6.05	1.48	9.58	9.76	6.72	9.13	3.40
ENSG00000070190.11	5.31	5.42	0.00	0.15	0.07	0.14	2.32	13.12	0.00	1.37	0.00
ENSG00000070214.14	15.27	13.02	4.75	18.10	17.33	4.38	11.53	21.58	6.11	2.04	0.37
ENSG00000070269.12	3.48	4.66	5.19	5.69	4.80	1.58	2.96	2.61	4.82	1.88	1.61
ENSG00000070366.12	12.79	12.03	16.48	8.54	9.94	33.98	8.27	10.26	19.73	13.51	22.68
ENSG00000070367.14	12.66	12.74	15.85	42.21	51.31	14.09	13.19	11.23	33.07	12.47	10.16
ENSG00000070371.14	3.84	2.42	2.05	3.68	11.45	5.16	2.32	4.86	2.73	3.90	7.53
ENSG00000070404.8	130.19	93.58	33.19	10.65	27.24	138.97	105.77	262.30	13.70	228.62	49.47
ENSG00000070413.17	34.96	52.12	20.21	13.53	30.60	39.35	30.53	40.14	19.02	33.43	12.87
ENSG00000070423.16	110.04	68.26	58.56	13.93	26.97	107.67	118.99	131.03	86.76	151.16	86.75
ENSG00000070444.13	24.09	13.25	11.97	10.53	7.20	17.01	14.86	23.70	6.69	18.80	51.33
ENSG00000070476.13	7.69	9.43	11.54	5.01	10.16	14.19	8.96	6.89	8.50	14.64	12.96
ENSG00000070495.13	24.28	9.73	32.17	29.04	35.47	28.96	17.99	32.75	25.15	37.42	52.80
ENSG00000070501.10	14.70	6.74	21.49	17.22	28.60	10.04	20.65	14.00	6.13	7.53	13.67
ENSG00000070526.13	0.38	0.25	0.00	0.12	0.05	0.05	0.32	2.77	0.00	0.17	0.00
ENSG00000070540.11	7.83	29.41	11.02	39.86	12.27	9.88	12.46	21.83	20.87	4.78	43.43
ENSG00000070601.8	0.40	0.54	1.27	14.05	4.44	10.56	0.32	0.13	0.02	0.12	0.34
ENSG00000070610.13	48.56	47.11	40.66	26.09	37.48	34.60	50.34	37.45	51.09	45.16	32.70
ENSG00000070614.13	66.31	102.15	81.46	19.04	44.33	108.61	35.61	37.17	25.30	51.54	128.99
ENSG00000070669.15	12.29	8.69	15.38	208.30	26.44	28.59	15.05	11.30	28.77	7.70	147.67
ENSG00000070718.10	11.81	5.79	19.39	11.74	32.53	13.81	9.29	7.73	15.64	3.31	9.70
ENSG00000070729.12	0.06	0.01	0.00	0.22	0.10	0.00	0.00	0.19	0.04	2.66	0.00
ENSG00000070731.8	22.45	163.78	0.11	0.28	1.07	0.09	14.24	7.30	0.59	15.78	0.50
ENSG00000070756.12	2312.68	4006.88	1255.63	1531.04	1979.47	3821.10	2935.89	1488.27	2100.99	4723.54	6116.37
ENSG00000070759.15	0.92	7.67	0.34	0.38	0.93	0.32	1.74	0.72	1.93	0.93	0.73
ENSG00000070761.6	36.05	18.63	58.99	32.22	39.59	27.02	35.15	29.24	92.53	36.89	62.33
ENSG00000070770.7	37.77	38.51	42.78	43.56	64.16	22.05	36.46	24.71	44.09	16.59	47.36
ENSG00000070778.11	4.40	5.03	6.31	4.19	1.65	10.98	3.51	5.18	5.86	4.16	20.84
ENSG00000070785.15	20.94	10.89	31.66	40.28	56.75	30.50	25.27	23.12	26.70	38.45	15.04
ENSG00000070814.16	54.57	19.83	53.20	37.20	46.37	69.00	66.85	17.91	60.56	88.38	59.25
ENSG00000070831.14	124.96	111.84	108.75	140.05	107.15	69.84	75.38	48.33	127.32	41.58	26.67
ENSG00000070882.11	17.70	14.54	5.68	4.82	6.22	8.59	19.35	16.38	13.39	20.16	6.39
ENSG00000070950.8	10.26	2.10	26.14	13.26	19.00	10.35	8.34	7.19	14.90	13.79	5.61
ENSG00000070961.13	8.71	9.41	20.53	31.23	14.06	16.84	12.44	20.13	25.10	4.49	1.35
ENSG00000071051.12	29.72	27.54	26.28	6.20	20.30	12.11	25.59	31.04	22.53	39.90	137.88
ENSG00000071054.14	61.94	26.77	45.83	279.28	109.78	86.05	64.37	194.46	27.29	88.75	228.82
ENSG00000071073.11	2.80	0.37	0.09	5.70	3.77	0.12	0.23	1.38	0.74	0.05	0.46
ENSG00000071082.9	1702.17	2130.94	1132.18	1885.45	988.92	1000.14	1847.15	2546.43	1505.02	3537.19	2139.12
ENSG00000071127.15	287.33	194.21	354.07	70.30	230.93	454.39	213.78	255.68	265.69	219.02	319.65
ENSG00000071189.20	10.82	9.35	8.95	11.97	11.49	7.85	9.32	13.22	2.91	14.28	6.84
ENSG00000071205.10	10.43	12.08	9.07	3.10	6.47	8.61	7.35	11.08	11.83	8.58	10.50
ENSG00000071242.10	7.94	2.39	0.20	2.61	0.44	38.11	13.16	34.27	8.19	7.02	4.90
ENSG00000071243.14	5.57	3.01	9.08	20.00	4.30	8.76	8.04	5.12	9.95	4.97	1.97
